team_id,attack_strength,defense_strength,clean_sheet_rate,attack_norm,defense_norm
1,2.0,5.5,6.166666666666667,0.999333777481679,1.0
2,1.25,10.083333333333334,3.75,0.4996668887408395,0.7619171298460685
3,1.1666666666666667,22.0,2.0833333333333335,0.4441483455474129,0.14290166744584698
4,1.5833333333333333,18.333333333333332,3.75,0.7217410615145459,0.33336796356899223
5,1.5,17.416666666666668,2.0833333333333335,0.6662225183211193,0.38098453759977835
6,1.5833333333333333,14.666666666666666,2.4166666666666665,0.7217410615145459,0.5238342596921373
7,1.9166666666666667,10.166666666666666,5.166666666666667,0.9438152342882524,0.7575883503887244
8,1.25,8.25,5.583333333333333,0.4996668887408395,0.8571502779076412
9,1.0833333333333333,11.916666666666666,3.6666666666666665,0.3886298023539862,0.6666839817844961
10,0.8333333333333334,14.666666666666666,2.75,0.22207417277370645,0.5238342596921373
11,0.9166666666666666,20.166666666666668,2.1666666666666665,0.27759271596713303,0.23813481550741955
12,1.5,18.333333333333332,2.5833333333333335,0.6662225183211193,0.33336796356899223
13,1.8333333333333333,9.166666666666666,4.666666666666667,0.8882966910948257,0.8095337038768549
14,1.4166666666666667,17.416666666666668,1.9166666666666667,0.6107039751276927,0.38098453759977835
15,1.0833333333333333,13.75,4.833333333333333,0.3886298023539862,0.5714508337229235
16,1.0833333333333333,18.333333333333332,1.0,0.3886298023539862,0.33336796356899223
17,1.0833333333333333,10.0,3.75,0.3886298023539862,0.7662459093034129
18,1.5833333333333333,12.833333333333334,3.6666666666666665,0.7217410615145459,0.6190674077537097
19,1.1666666666666667,22.916666666666668,1.0,0.4441483455474129,0.09528509341506064
20,0.5,24.75,0.4166666666666667,0.0,5.1945353488180857e-05
